FIPS,State Name,State,2012 Food Insecurity Rate,# of Food Insecure Persons in 2012 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2012 Child Food Insecurity Rate,# of Food Insecure Children in 2012,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2012,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2012,2012 Cost Per Meal,2012 Weighted Annual Food Budget Shortfall
1,Alabama,AL,18.5695920571096%,895430,130%,SNAP,185%,Other Nutrition Program,53.3499759891896%,18.4745172710318%,28.1755067397787%,25.7748838863086%,289960,74%,26%,2.74530555066507,430525000
2,Alaska,AK,13.9695317103448%,102180,130%,SNAP,185%,Other Nutrition Program,44.7%,18.2%,37.1%,19.5685258857768%,36650,61%,39%,3.10992646582289,55653000
4,Arizona,AZ,17.8471614487762%,1169570,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",69.3142915772464%,0%,30.6857084227537%,28.2025333650287%,456760,71%,29%,2.57149881565393,526731000
5,Arkansas,AR,19.4304695179699%,573030,130%,SNAP,185%,Other Nutrition Program,54.3239690766627%,16.6370573966459%,29.0119365478247%,27.6763594513433%,196950,73%,27%,2.59639353483663,260570000
6,California,CA,16.2443683110756%,6179590,130%,SNAP,185%,Other Nutrition Program,58.0963740312869%,15.7593416391702%,26.1335315126084%,26.2629141193072%,2426510,71%,29%,2.80236865180173,3032920000
8,Colorado,CO,14.568058875985%,755730,130%,SNAP,185%,Other Nutrition Program,48.2288317256163%,16.3109007185106%,35.4922167970042%,21.2872987808889%,262110,64%,36%,2.83736809653013,375542000
9,Connecticut,CT,13.8833377386643%,498460,185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",54.3214219796975%,0%,45.6785780203025%,19.5998567042482%,155380,57%,43%,2.92221177088374,255104000
10,Delaware,DE,13.0303175690116%,119500,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.4%,0%,34.6%,18.2661526449346%,37430,74%,26%,2.88509352417194,60381000
11,District of Columbia,DC,14.4767784818835%,91540,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.4%,0%,29.6%,27.9611153747762%,30600,68%,32%,3.77264486024972,60483000
12,Florida,FL,17.8501765853756%,3448220,200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.4599999419991%,0%,26.5400000580009%,27.5895638385963%,1103850,70%,30%,2.87633880424157,1737045000
