"FIPS","State","County, State","2016 Food Insecurity Rate","# of Food Insecure Persons in 2016","Low Threshold in state","Low Threshold Type","High Threshold in state","High Threshold Type","% FI ≤ Low Threshold","% FI Btwn Thresholds","% FI > High Threshold","2016 Child food insecurity rate","# of Food Insecure Children in 2016","% food insecure children in HH w/ HH incomes below 185 FPL in 2016","% food insecure children in HH w/ HH incomes above 185 FPL in 2016","2016 Cost Per Meal","2016 Weighted Annual Food Budget Shortfall"
"1001","AL","Autauga County, Alabama","13.4%","  7,360 ","130%","SNAP","185%","Other Nutrition Program","46.7%","19.4%","33.9%","19.9%","  2,760 ","71%","29%","$3.14","$3,949,000.00"
"1003","AL","Baldwin County, Alabama","12.3%","  24,500 ","130%","SNAP","185%","Other Nutrition Program","50.2%","14.4%","35.4%","20.7%","  9,180 ","69%","31%","$3.47","$14,521,000.00"
"1005","AL","Barbour County, Alabama","23.2%","  6,160 ","130%","SNAP","185%","Other Nutrition Program","57.1%","18.8%","24.1%","29.4%","  1,690 ","79%","21%","$2.96","$3,113,000.00"
"1007","AL","Bibb County, Alabama","15.8%","  3,580 ","130%","SNAP","185%","Other Nutrition Program","45.5%","22.0%","32.4%","24.1%","  1,150 ","87%","13%","$3.01","$1,841,000.00"
"1009","AL","Blount County, Alabama","11.0%","  6,340 ","130%","SNAP","185%","Other Nutrition Program","60.9%","18.1%","21.0%","22.8%","  3,100 ","76%","24%","$2.94","$3,190,000.00"
"1011","AL","Bullock County, Alabama","26.0%","  2,740 ","130%","SNAP","185%","Other Nutrition Program","58.2%","22.6%","19.2%","27.8%","  630 ","73%","27%","$3.15","$1,474,000.00"
"1013","AL","Butler County, Alabama","21.7%","  4,410 ","130%","SNAP","185%","Other Nutrition Program","64.3%","16.3%","19.4%","26.9%","  1,270 ","80%","20%","$2.81","$2,119,000.00"
"1015","AL","Calhoun County, Alabama","16.7%","  19,370 ","130%","SNAP","185%","Other Nutrition Program","57.5%","16.0%","26.4%","24.7%","  6,330 ","81%","19%","$2.95","$9,754,000.00"
"1017","AL","Chambers County, Alabama","19.5%","  6,620 ","130%","SNAP","185%","Other Nutrition Program","60.3%","18.9%","20.8%","24.5%","  1,790 ","83%","17%","$2.84","$3,217,000.00"
"1019","AL","Cherokee County, Alabama","12.5%","  3,240 ","130%","SNAP","185%","Other Nutrition Program","58.0%","23.8%","18.2%","22.4%","  1,190 ","86%","15%","$3.13","$1,734,000.00"
"1021","AL","Chilton County, Alabama","13.6%","  5,960 ","130%","SNAP","185%","Other Nutrition Program","65.4%","12.4%","22.2%","24.3%","  2,570 ","86%","14%","$3.02","$3,080,000.00"
"1023","AL","Choctaw County, Alabama","20.5%","  2,720 ","130%","SNAP","185%","Other Nutrition Program","54.4%","21.2%","24.4%","25.6%","  710 ","72%","28%","$2.93","$1,360,000.00"
"1025","AL","Clarke County, Alabama","24.1%","  5,990 ","130%","SNAP","185%","Other Nutrition Program","55.9%","17.7%","26.4%","26.8%","  1,510 ","71%","29%","$2.90","$2,973,000.00"
"1027","AL","Clay County, Alabama","14.5%","  1,950 ","130%","SNAP","185%","Other Nutrition Program","59.7%","22.0%","18.3%","22.6%","  660 ","96%","4%","$3.06","$1,019,000.00"
"1029","AL","Cleburne County, Alabama","13.9%","  2,080 ","130%","SNAP","185%","Other Nutrition Program","56.6%","19.3%","24.1%","25.4%","  890 ","79%","21%","$2.95","$1,048,000.00"
"1031","AL","Coffee County, Alabama","14.7%","  7,500 ","130%","SNAP","185%","Other Nutrition Program","50.9%","17.2%","31.8%","23.0%","  2,790 ","71%","30%","$3.34","$4,278,000.00"
"1033","AL","Colbert County, Alabama","15.3%","  8,330 ","130%","SNAP","185%","Other Nutrition Program","52.8%","14.0%","33.2%","23.7%","  2,780 ","67%","33%","$2.61","$3,709,000.00"
"1035","AL","Conecuh County, Alabama","23.9%","  3,030 ","130%","SNAP","185%","Other Nutrition Program","70.2%","16.1%","13.6%","30.7%","  870 ","77%","23%","$2.82","$1,462,000.00"
"1037","AL","Coosa County, Alabama","16.3%","  1,780 ","130%","SNAP","185%","Other Nutrition Program","57.6%","35.7%","6.7%","21.9%","  440 ","100%","0%","$3.30","$1,003,000.00"
"1039","AL","Covington County, Alabama","15.6%","  5,870 ","130%","SNAP","185%","Other Nutrition Program","57.5%","15.6%","26.9%","25.3%","  2,100 ","78%","22%","$2.78","$2,788,000.00"
"1041","AL","Crenshaw County, Alabama","16.6%","  2,310 ","130%","SNAP","185%","Other Nutrition Program","59.3%","16.1%","24.6%","22.1%","  700 ","71%","29%","$3.09","$1,221,000.00"
"1043","AL","Cullman County, Alabama","12.0%","  9,790 ","130%","SNAP","185%","Other Nutrition Program","62.2%","20.0%","17.8%","21.9%","  4,000 ","87%","13%","$2.98","$4,986,000.00"
"1045","AL","Dale County, Alabama","16.7%","  8,300 ","130%","SNAP","185%","Other Nutrition Program","55.9%","13.7%","30.4%","24.0%","  2,820 ","72%","28%","$2.98","$4,229,000.00"
"1047","AL","Dallas County, Alabama","29.5%","  12,230 ","130%","SNAP","185%","Other Nutrition Program","70.0%","15.9%","14.1%","33.0%","  3,440 ","74%","26%","$2.99","$6,249,000.00"
"1049","AL","DeKalb County, Alabama","12.0%","  8,510 ","130%","SNAP","185%","Other Nutrition Program","69.6%","22.1%","8.4%","23.5%","  4,130 ","94%","6%","$2.99","$4,343,000.00"
"1051","AL","Elmore County, Alabama","14.0%","  11,290 ","130%","SNAP","185%","Other Nutrition Program","45.2%","11.6%","43.2%","21.0%","  3,890 ","66%","34%","$3.20","$6,174,000.00"
"1053","AL","Escambia County, Alabama","19.8%","  7,480 ","130%","SNAP","185%","Other Nutrition Program","61.9%","20.1%","18.0%","25.4%","  2,150 ","93%","8%","$2.88","$3,677,000.00"
"1055","AL","Etowah County, Alabama","15.2%","  15,660 ","130%","SNAP","185%","Other Nutrition Program","59.4%","17.3%","23.3%","24.0%","  5,460 ","79%","21%","$2.89","$7,744,000.00"
"1057","AL","Fayette County, Alabama","15.0%","  2,520 ","130%","SNAP","185%","Other Nutrition Program","60.1%","20.0%","20.0%","23.6%","  850 ","88%","12%","$3.15","$1,356,000.00"
"1059","AL","Franklin County, Alabama","13.0%","  4,090 ","130%","SNAP","185%","Other Nutrition Program","70.3%","13.8%","15.9%","26.2%","  2,010 ","87%","13%","$2.81","$1,963,000.00"
